year,month,val
1873,7,0.0034
1873,8,0.0033
1873,9,0.0032
1873,10,0.0031
1873,11,0.0029
1873,12,0.0028
1874,1,0.0027
1874,2,0.0025
1874,3,0.0024
1874,4,0.0023
1874,5,0.0022
1874,6,0.002
1874,7,0.0019
1874,8,0.0017
1874,9,0.0016
1874,10,0.0015
1874,11,0.0014
1874,12,0.0013
1875,1,0.0012
1875,2,0.0011
1875,3,0.001
1875,4,0.0009
1875,5,0.0009
1875,6,0.0008
1875,7,0.0008
1875,8,0.0007
1875,9,0.001
1875,10,0.0017
1875,11,0.0024
1875,12,0.003
1876,1,0.0037
1876,2,0.0044
1876,3,0.0051
1876,4,0.0058
1876,5,0.0065
1876,6,0.0072
1876,7,0.0074
1876,8,0.0072
1876,9,0.007
1876,10,0.0069
1876,11,0.0067
1876,12,0.0065
1877,1,0.0063
1877,2,0.0061
1877,3,0.0059
1877,4,0.0057
1877,5,0.0056
1877,6,0.0054
1877,7,0.0052
1877,8,0.005
1877,9,0.0048
1877,10,0.0046
1877,11,0.0044
1877,12,0.0042
1878,1,0.004
1878,2,0.0039
1878,3,0.0037
1878,4,0.0035
1878,5,0.0033
1878,6,0.0031
1878,7,0.0029
1878,8,0.0029
1878,9,0.0028
1878,10,0.0027
1878,11,0.0026
1878,12,0.0025
1879,1,0.0024
1879,2,0.0024
1879,3,0.0023
1879,4,0.0022
1879,5,0.0021
1879,6,0.002
1879,7,0.002
1879,8,0.0019
1879,9,0.0018
1879,10,0.0017
1879,11,0.0016
1879,12,0.0016
1880,1,0.0015
1880,2,0.0014
1880,3,0.0014
1880,4,0.0013
1880,5,0.0012
1880,6,0.0011
1880,7,0.0011
1880,8,0.001
1880,9,0.001
1880,10,0.0009
1880,11,0.0009
1880,12,0.0009
1881,1,0.0008
1881,2,0.0008
1881,3,0.0008
1881,4,0.0007
1881,5,0.0007
1881,6,0.0006
1881,7,0.0006
1881,8,0.0006
1881,9,0.0006
1881,10,0.0006
1881,11,0.0006
1881,12,0.0006
1882,1,0.0006
1882,2,0.0006
1882,3,0.0006
1882,4,0.0006
1882,5,0.0006
1882,6,0.0006
1882,7,0.0006
1882,8,0.0006
1882,9,0.0006
1882,10,0.0005
1882,11,0.0005
1882,12,0.0005
1883,1,0.0291
1883,2,0.0328
1883,3,0.0302
1883,4,0.0278
1883,5,0.0255
1883,6,0.0235
1883,7,0.0216
1883,8,0.0197
1883,9,0.0415
1883,10,0.0781
1883,11,0.106
1883,12,0.1317
1884,1,0.1518
1884,2,0.1523
1884,3,0.1631
1884,4,0.1644
1884,5,0.157
1884,6,0.1525
1884,7,0.1516
1884,8,0.1392
1884,9,0.135
1884,10,0.1255
1884,11,0.1149
1884,12,0.1076
1885,1,0.1009
1885,2,0.0872
1885,3,0.0817
1885,4,0.0727
1885,5,0.0668
1885,6,0.0615
1885,7,0.0577
1885,8,0.053
1885,9,0.049
1885,10,0.0468
1885,11,0.0433
1885,12,0.0413
1886,1,0.0385
1886,2,0.0343
1886,3,0.0313
1886,4,0.0291
1886,5,0.0261
1886,6,0.0239
1886,7,0.0225
1886,8,0.0203
1886,9,0.0197
1886,10,0.0692
1886,11,0.0637
1886,12,0.0586
1887,1,0.0539
1887,2,0.0496
1887,3,0.0457
1887,4,0.042
1887,5,0.0387
1887,6,0.0356
1887,7,0.0328
1887,8,0.0345
1887,9,0.0317
1887,10,0.0292
1887,11,0.0269
1887,12,0.0247
1888,1,0.0228
1888,2,0.021
1888,3,0.0193
1888,4,0.0178
1888,5,0.0163
1888,6,0.011
1888,7,0.013
1888,8,0.0149
1888,9,0.0222
1888,10,0.0296
1888,11,0.0368
1888,12,0.0376
1889,1,0.0385
1889,2,0.0393
1889,3,0.0361
1889,4,0.0332
1889,5,0.0306
1889,6,0.0282
1889,7,0.0259
1889,8,0.0238
1889,9,0.0219
1889,10,0.0202
1889,11,0.0191
1889,12,0.0256
1890,1,0.0321
1890,2,0.0387
1890,3,0.0418
1890,4,0.045
1890,5,0.0482
1890,6,0.0443
1890,7,0.0408
1890,8,0.0375
1890,9,0.0345
1890,10,0.0331
1890,11,0.0359
1890,12,0.0376
1891,1,0.0398
1891,2,0.0422
1891,3,0.0388
1891,4,0.0357
1891,5,0.0328
1891,6,0.0303
1891,7,0.0278
1891,8,0.0256
1891,9,0.0236
1891,10,0.0217
1891,11,0.0206
1891,12,0.0208
1892,1,0.021
1892,2,0.0212
1892,3,0.0234
1892,4,0.0255
1892,5,0.0277
1892,6,0.0255
1892,7,0.0235
1892,8,0.0216
1892,9,0.0199
1892,10,0.0183
1892,11,0.0168
1892,12,0.0155
1893,1,0.0143
1893,2,0.0131
1893,3,0.0121
1893,4,0.0111
1893,5,0.0102
1893,6,0.0095
1893,7,0.0087
1893,8,0.008
1893,9,0.0074
1893,10,0.0068
1893,11,0.0063
1893,12,0.0058
1894,1,0.0053
1894,2,0.0049
1894,3,0.0045
1894,4,0.0042
1894,5,0.0038
1894,6,0.0035
1894,7,0.0033
1894,8,0.003
1894,9,0.0028
1894,10,0.0025
1894,11,0.0024
1894,12,0.0022
1895,1,0.002
1895,2,0.0019
1895,3,0.0017
1895,4,0.0016
1895,5,0.0015
1895,6,0.0014
1895,7,0.0012
1895,8,0.0012
1895,9,0.0011
1895,10,0.001
1895,11,0.0009
1895,12,0.0009
1896,1,0.0063
1896,2,0.0058
1896,3,0.0071
1896,4,0.0134
1896,5,0.0197
1896,6,0.0225
1896,7,0.0252
1896,8,0.028
1896,9,0.0258
1896,10,0.0237
1896,11,0.0218
1896,12,0.0201
1897,1,0.0185
1897,2,0.0171
1897,3,0.0157
1897,4,0.0144
1897,5,0.0138
1897,6,0.0143
1897,7,0.0148
1897,8,0.0153
1897,9,0.0174
1897,10,0.0195
1897,11,0.0216
1897,12,0.0199
1898,1,0.0183
1898,2,0.0169
1898,3,0.0155
1898,4,0.0143
1898,5,0.0132
1898,6,0.0121
1898,7,0.0112
1898,8,0.0103
1898,9,0.0095
1898,10,0.0087
1898,11,0.008
1898,12,0.0074
1899,1,0.0069
1899,2,0.0063
1899,3,0.0058
1899,4,0.0054
1899,5,0.0049
1899,6,0.0046
1899,7,0.0042
1899,8,0.0039
1899,9,0.0036
1899,10,0.0033
1899,11,0.003
1899,12,0.0028
1900,1,0.0026
1900,2,0.0024
1900,3,0.0022
1900,4,0.0021
1900,5,0.0019
1900,6,0.0018
1900,7,0.0016
1900,8,0.0015
1900,9,0.0014
1900,10,0.0013
1900,11,0.0012
1900,12,0.0011
1901,1,0.001
1901,2,0.001
1901,3,0.0009
1901,4,0.0009
1901,5,0.0008
1901,6,0.0007
1901,7,0.0007
1901,8,0.0007
1901,9,0.0006
1901,10,0.0006
1901,11,0.0005
1901,12,0.0005
1902,1,0.0029
1902,2,0.0043
1902,3,0.0066
1902,4,0.0089
1902,5,0.0112
1902,6,0.0103
1902,7,0.0095
1902,8,0.0099
1902,9,0.0208
1902,10,0.0391
1902,11,0.053
1902,12,0.0659
1903,1,0.076
1903,2,0.0762
1903,3,0.0816
1903,4,0.0822
1903,5,0.0786
1903,6,0.0763
1903,7,0.0759
1903,8,0.0696
1903,9,0.0676
1903,10,0.0628
1903,11,0.0575
1903,12,0.0539
1904,1,0.0505
1904,2,0.0437
1904,3,0.0409
1904,4,0.0364
1904,5,0.0335
1904,6,0.0308
1904,7,0.0289
1904,8,0.0265
1904,9,0.0245
1904,10,0.0234
1904,11,0.0217
1904,12,0.0207
1905,1,0.0193
1905,2,0.0172
1905,3,0.0157
1905,4,0.0146
1905,5,0.0131
1905,6,0.012
1905,7,0.0113
1905,8,0.0102
1905,9,0.0099
1905,10,0.0095
1905,11,0.0089
1905,12,0.0092
1906,1,0.0088
1906,2,0.0088
1906,3,0.0067
1906,4,0.0065
1906,5,0.0061
1906,6,0.0056
1906,7,0.0055
1906,8,0.0091
1906,9,0.0084
1906,10,0.0078
1906,11,0.0071
1906,12,0.0066
1907,1,0.0061
1907,2,0.0058
1907,3,0.0075
1907,4,0.0091
1907,5,0.0108
1907,6,0.0108
1907,7,0.0109
1907,8,0.0109
1907,9,0.0101
1907,10,0.0093
1907,11,0.0086
1907,12,0.0105
1908,1,0.0126
1908,2,0.0147
1908,3,0.0135
1908,4,0.0125
1908,5,0.0115
1908,6,0.0106
1908,7,0.0097
1908,8,0.0089
1908,9,0.0082
1908,10,0.0076
1908,11,0.007
1908,12,0.0065
1909,1,0.0059
1909,2,0.0056
1909,3,0.0051
1909,4,0.0047
1909,5,0.0044
1909,6,0.004
1909,7,0.0037
1909,8,0.0034
1909,9,0.0032
1909,10,0.0029
1909,11,0.0027
1909,12,0.0025
1910,1,0.0028
1910,2,0.0041
1910,3,0.004
1910,4,0.0039
1910,5,0.0037
1910,6,0.0034
1910,7,0.0031
1910,8,0.0029
1910,9,0.0027
1910,10,0.0025
1910,11,0.0023
1910,12,0.0021
1911,1,0.002
1911,2,0.0023
1911,3,0.0021
1911,4,0.002
1911,5,0.0019
1911,6,0.0017
1911,7,0.0016
1911,8,0.0015
1911,9,0.0014
1911,10,0.0013
1911,11,0.0012
1911,12,0.0011
1912,1,0.0008
1912,2,0.0017
1912,3,0.0019
1912,4,0.0021
1912,5,0.0023
1912,6,0.0149
1912,7,0.0275
1912,8,0.0401
1912,9,0.0378
1912,10,0.0357
1912,11,0.0338
1912,12,0.033
1913,1,0.0324
1913,2,0.0319
1913,3,0.0294
1913,4,0.0271
1913,5,0.0276
1913,6,0.0254
1913,7,0.0234
1913,8,0.0215
1913,9,0.0198
1913,10,0.0182
1913,11,0.0168
1913,12,0.0155
1914,1,0.0142
1914,2,0.0134
1914,3,0.0126
1914,4,0.0117
1914,5,0.011
1914,6,0.0101
1914,7,0.0093
1914,8,0.0086
1914,9,0.0079
1914,10,0.0073
1914,11,0.0067
1914,12,0.0062
1915,1,0.0057
1915,2,0.0052
1915,3,0.0049
1915,4,0.0045
1915,5,0.0041
1915,6,0.0038
1915,7,0.0035
1915,8,0.0033
1915,9,0.003
1915,10,0.0028
1915,11,0.0033
1915,12,0.0032
1916,1,0.0036
1916,2,0.0033
1916,3,0.003
1916,4,0.0028
1916,5,0.0026
1916,6,0.0024
1916,7,0.0025
1916,8,0.0023
1916,9,0.0026
1916,10,0.0024
1916,11,0.0027
1916,12,0.0027
1917,1,0.0034
1917,2,0.0031
1917,3,0.0028
1917,4,0.0026
1917,5,0.0024
1917,6,0.0022
1917,7,0.002
1917,8,0.0019
1917,9,0.0018
1917,10,0.0016
1917,11,0.0015
1917,12,0.0014
1918,1,0.002
1918,2,0.002
1918,3,0.0027
1918,4,0.0025
1918,5,0.0023
1918,6,0.0021
1918,7,0.0019
1918,8,0.0018
1918,9,0.0017
1918,10,0.0016
1918,11,0.0014
1918,12,0.0014
1919,1,0.0014
1919,2,0.002
1919,3,0.0027
1919,4,0.0027
1919,5,0.0025
1919,6,0.0023
1919,7,0.0021
1919,8,0.0019
1919,9,0.0018
1919,10,0.0017
1919,11,0.0016
1919,12,0.0014
1920,1,0.0013
1920,2,0.0012
1920,3,0.0012
1920,4,0.0031
1920,5,0.0071
1920,6,0.0101
1920,7,0.0141
1920,8,0.0171
1920,9,0.0161
1920,10,0.0148
1920,11,0.0136
1920,12,0.0126
1921,1,0.0116
1921,2,0.0106
1921,3,0.0098
1921,4,0.009
1921,5,0.0083
1921,6,0.0077
1921,7,0.0071
1921,8,0.0065
1921,9,0.006
1921,10,0.0055
1921,11,0.0051
1921,12,0.0047
1922,1,0.0043
1922,2,0.004
1922,3,0.0037
1922,4,0.0034
1922,5,0.0031
1922,6,0.0029
1922,7,0.0027
1922,8,0.0025
1922,9,0.0023
1922,10,0.0021
1922,11,0.0019
1922,12,0.0018
1923,1,0.0017
1923,2,0.0015
1923,3,0.0014
1923,4,0.0013
1923,5,0.0012
1923,6,0.0011
1923,7,0.001
1923,8,0.001
1923,9,0.0009
1923,10,0.0008
1923,11,0.0008
1923,12,0.0007
1924,1,0.003
1924,2,0.0027
1924,3,0.0031
1924,4,0.0031
1924,5,0.0031
1924,6,0.0035
1924,7,0.0042
1924,8,0.004
1924,9,0.0037
1924,10,0.0037
1924,11,0.0035
1924,12,0.0033
1925,1,0.0031
1925,2,0.0028
1925,3,0.0032
1925,4,0.0032
1925,5,0.0036
1925,6,0.0033
1925,7,0.003
1925,8,0.0028
1925,9,0.0026
1925,10,0.0024
1925,11,0.0022
1925,12,0.0021
1926,1,0.0019
1926,2,0.0018
1926,3,0.0016
1926,4,0.0015
1926,5,0.0014
1926,6,0.0027
1926,7,0.003
1926,8,0.0033
1926,9,0.0031
1926,10,0.0028
1926,11,0.0026
1926,12,0.0024
1927,1,0.0022
1927,2,0.0021
1927,3,0.0019
1927,4,0.0018
1927,5,0.0016
1927,6,0.0015
1927,7,0.0014
1927,8,0.0013
1927,9,0.0012
1927,10,0.0011
1927,11,0.001
1927,12,0.001
1928,1,0.0017
1928,2,0.0024
1928,3,0.0028
1928,4,0.0033
1928,5,0.0039
1928,6,0.0058
1928,7,0.0065
1928,8,0.0072
1928,9,0.0073
1928,10,0.0069
1928,11,0.0068
1928,12,0.0084
1929,1,0.0086
1929,2,0.01
1929,3,0.0104
1929,4,0.0099
1929,5,0.0098
1929,6,0.0098
1929,7,0.0104
1929,8,0.0108
1929,9,0.0104
1929,10,0.0099
1929,11,0.0093
1929,12,0.0086
1930,1,0.008
1930,2,0.0075
1930,3,0.0069
1930,4,0.0064
1930,5,0.0066
1930,6,0.0064
1930,7,0.0061
1930,8,0.0058
1930,9,0.0057
1930,10,0.0053
1930,11,0.0049
1930,12,0.0049
1931,1,0.0052
1931,2,0.0051
1931,3,0.0052
1931,4,0.0052
1931,5,0.005
1931,6,0.0049
1931,7,0.0049
1931,8,0.0045
1931,9,0.0044
1931,10,0.0041
1931,11,0.0038
1931,12,0.0041
1932,1,0.0046
1932,2,0.0057
1932,3,0.006
1932,4,0.0066
1932,5,0.0073
1932,6,0.0088
1932,7,0.0096
1932,8,0.0102
1932,9,0.0105
1932,10,0.0101
1932,11,0.0098
1932,12,0.0097
1933,1,0.0095
1933,2,0.0088
1933,3,0.0083
1933,4,0.0079
1933,5,0.0075
1933,6,0.0069
1933,7,0.0063
1933,8,0.0059
1933,9,0.0054
1933,10,0.0049
1933,11,0.0045
1933,12,0.0042
1934,1,0.0039
1934,2,0.0036
1934,3,0.0033
1934,4,0.003
1934,5,0.0029
1934,6,0.0032
1934,7,0.0037
1934,8,0.0039
1934,9,0.0039
1934,10,0.0044
1934,11,0.0051
1934,12,0.0047
1935,1,0.0045
1935,2,0.0045
1935,3,0.0046
1935,4,0.0048
1935,5,0.0048
1935,6,0.0046
1935,7,0.0043
1935,8,0.0041
1935,9,0.0038
1935,10,0.0037
1935,11,0.0036
1935,12,0.0035
1936,1,0.0034
1936,2,0.0032
1936,3,0.0031
1936,4,0.003
1936,5,0.0028
1936,6,0.0026
1936,7,0.0029
1936,8,0.0035
1936,9,0.0034
1936,10,0.0037
1936,11,0.0039
1936,12,0.0036
1937,1,0.0033
1937,2,0.003
1937,3,0.0029
1937,4,0.0026
1937,5,0.0025
1937,6,0.0022
1937,7,0.0021
1937,8,0.0026
1937,9,0.0032
1937,10,0.0032
1937,11,0.0032
1937,12,0.003
1938,1,0.0033
1938,2,0.0035
1938,3,0.0046
1938,4,0.0046
1938,5,0.0047
1938,6,0.0049
1938,7,0.0055
1938,8,0.0055
1938,9,0.0057
1938,10,0.0059
1938,11,0.0055
1938,12,0.0052
1939,1,0.0047
1939,2,0.0044
1939,3,0.0049
1939,4,0.0047
1939,5,0.0046
1939,6,0.0046
1939,7,0.0042
1939,8,0.0039
1939,9,0.0036
1939,10,0.0033
1939,11,0.0031
1939,12,0.0032
1940,1,0.0034
1940,2,0.0036
1940,3,0.0037
1940,4,0.0034
1940,5,0.0033
1940,6,0.0031
1940,7,0.003
1940,8,0.0027
1940,9,0.0033
1940,10,0.003
1940,11,0.003
1940,12,0.0028
1941,1,0.0026
1941,2,0.0023
1941,3,0.0022
1941,4,0.002
1941,5,0.0019
1941,6,0.0017
1941,7,0.0016
1941,8,0.0015
1941,9,0.0021
1941,10,0.0019
1941,11,0.0018
1941,12,0.0017
1942,1,0.0026
1942,2,0.0029
1942,3,0.003
1942,4,0.0031
1942,5,0.0034
1942,6,0.0035
1942,7,0.0037
1942,8,0.0038
1942,9,0.0063
1942,10,0.0061
1942,11,0.006
1942,12,0.006
1943,1,0.0061
1943,2,0.0056
1943,3,0.0052
1943,4,0.0048
1943,5,0.0044
1943,6,0.004
1943,7,0.0039
1943,8,0.0039
1943,9,0.0041
1943,10,0.0038
1943,11,0.0035
1943,12,0.0032
1944,1,0.003
1944,2,0.0027
1944,3,0.0025
1944,4,0.0023
1944,5,0.0022
1944,6,0.002
1944,7,0.0019
1944,8,0.0022
1944,9,0.0025
1944,10,0.0025
1944,11,0.0023
1944,12,0.0021
1945,1,0.0025
1945,2,0.0027
1945,3,0.003
1945,4,0.0028
1945,5,0.0025
1945,6,0.0023
1945,7,0.0022
1945,8,0.002
1945,9,0.0019
1945,10,0.0017
1945,11,0.0016
1945,12,0.0014
1946,1,0.0016
1946,2,0.0015
1946,3,0.0014
1946,4,0.0014
1946,5,0.0015
1946,6,0.0026
1946,7,0.0024
1946,8,0.0022
1946,9,0.002
1946,10,0.0019
1946,11,0.0017
1946,12,0.0016
1947,1,0.0015
1947,2,0.0014
1947,3,0.0013
1947,4,0.0012
1947,5,0.0011
1947,6,0.001
1947,7,0.0037
1947,8,0.0036
1947,9,0.0035
1947,10,0.0033
1947,11,0.003
1947,12,0.0028
1948,1,0.0025
1948,2,0.0023
1948,3,0.0022
1948,4,0.002
1948,5,0.0019
1948,6,0.0017
1948,7,0.0016
1948,8,0.0015
1948,9,0.0014
1948,10,0.0012
1948,11,0.0012
1948,12,0.001
1949,1,0.001
1949,2,0.0013
1949,3,0.0026
1949,4,0.0027
1949,5,0.0032
1949,6,0.0038
1949,7,0.0043
1949,8,0.0045
1949,9,0.0044
1949,10,0.0041
1949,11,0.0038
1949,12,0.0035
1950,1,0.0034
1950,2,0.0031
1950,3,0.0029
1950,4,0.0029
1950,5,0.0036
1950,6,0.0033
1950,7,0.003
1950,8,0.0029
1950,9,0.0026
1950,10,0.0024
1950,11,0.0022
1950,12,0.0021
1951,1,0.0019
1951,2,0.0017
1951,3,0.0016
1951,4,0.0016
1951,5,0.0014
1951,6,0.0013
1951,7,0.0012
1951,8,0.0011
1951,9,0.0025
